web-scraper-order,web-scraper-start-url,ReviewTitle,ReviewContent,ReviewStars
"1706604080-1","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Would buy again!","I like this! I switch phone cases a lot because I can’t ever seem to find one I like more than a month but this one is a keeper! It’s lightweight, not bulky, looks clean and doesn’t scratch!","5.0 out of 5 stars"
"1706604080-2","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Fits and looks good, would buy again","Goor fit, good quality","5.0 out of 5 stars"
"1706604080-3","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Fits perfectly","Looks great. Not slippery to hold.","5.0 out of 5 stars"
"1706604080-4","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sleek and protective","UPDATE: After having it for 7 months, it's falling apart. I'm not at all rough with it. It's either in my pocket or on my desk most of the time. The bottom silicone piece that protects the speakers and charging port is completely separated from the hard plastic. I'm pretty disappointed. Otterbox has always been a company that I could rely on for long periods of time. However, I still hold true to my statement about the magnetic ring. It works perfectly. I just wish it wasn't falling apart.

I've never had an issue with Otterbox and this case is no exception. It's perfect as always. I've had an Otterbox or two for every phone I've had for the last 12 years. They have never failed me. This particular case is very sleek and smooth. It gives your phone a nice thin look but also seems to protect it pretty well. All of the buttons line up perfectly and it fits the phone perfectly snug. The Magsafe aspect of it is really nice as well. It works just as you'd hope it does. I have no complaints.","5.0 out of 5 stars"
"1706604080-5","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Strong","I already dropped my phone with my new case . Nothing happened. No scratch .it doesn’t look like my old case but it does the job of my old case that lasted 2 years . Love the price","5.0 out of 5 stars"
"1706604080-6","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","iPhone 13 Pro Max","This is the only case I put on my IPhone very clean look and very durable the last one I hade lasted a long time and no yellowing for some time. Very good case and dose it’s job. Nice to be able to place it on the mag charger as well very convenient. Good product.","5.0 out of 5 stars"
"1706604080-7","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sturdy","It's a bit bulky but is very sturdy. I dropped it a couple of times so there're scraps on my OtterBox case tho luckily my iPhone is fine.","4.0 out of 5 stars"
"1706604080-8","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","My Otterbox really protects my IPhone.","I have dropped my IPhone a number of times, with no side effects. My sister recommended that I purchase an Otterbox and I’m really glad I did. It has really protected my phone from being damaged.","5.0 out of 5 stars"
"1706604080-9","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yellow","This case yellowed and the adhesive started peeling near the charging port. Terrible case.","1.0 out of 5 stars"
"1706604080-10","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yellows Fast","The case is very strong and does a great job of protecting the phone. Like all clear cases, this yellows and is now a dark color. The case also now has issues staying attached to itself. It’s been 6 months and I will be looking for a better alternative.","3.0 out of 5 stars"
"1706604080-11","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very Late & Not sure it’s Otterbox?","Update. I inspected the phone case closely and it does have the Otterbox logo on the side.  Thinking it might be valid, going from one star to three (because of late delivery and packing material not the original box).

This was about a week late (maybe more) and it didn’t arrive in any box, just a clear plastic bag.  I don’t know if it’s a true Otterbox and not willing to take a change w my iPhone.  Returning!","3.0 out of 5 stars"
"1706604080-12","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great fit, ok durability","I’ve bought this case before. They fit great but the durability for normal use is “ok” overall.","3.0 out of 5 stars"
"1706604080-13","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Does not fit well","This case looks great. Unfortunately, I got it as a protective case and it does not fit my phone well. The edges are loose and I can feel and hear it move while holding it or locking my phone.","3.0 out of 5 stars"
"1706604080-14","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good case but clear yellows over time","Very solid case that offers great protection but part of the clear case yellowed after 4 months of use.","4.0 out of 5 stars"
